Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.078140719,4.316297422,0.627471993,-2.372065243,0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043,,
,AFE,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.537537916,8.97120641,9.158707155,5.750981334,5.37028961,5.250170864,6.571396422,6.399343416,4.720811389,4.12024587,5.404814672,7.240977656
Afganistán,AFG,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,,
,AFW,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.784844205,4.018699075,4.578374635,2.439200761,1.75805196,2.130268062,1.494563664,1.764634952,1.784049948,1.758565176,2.492521734,3.925602831
Angola,AGO,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,9.150372075,30.69531299,29.84358669,19.62860772,17.08121521,,
Albania,ALB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.626046956,3.429123247,2.031592684,1.937620802,1.625865044,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079,1.620886617,2.041471631
Andorra,AND,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
El mundo árabe,ARB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.911061955,4.753163889,4.611844322,3.238108339,2.773516131,1.814077239,2.068840361,1.966825578,2.45814158,1.091848027,1.777407838,3.243459683
Emiratos Árabes Unidos,ARE,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.877983288,0.877346596,0.6622689,1.101118364,2.346268657,4.069966084,1.617488089,1.966825578,3.068633793,-1.931081148,-2.079403179,
Argentina,ARG,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
Armenia,ARM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.176361385,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608,1.211435778,7.184836294
Samoa Americana,ASM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
Antigua y Barbuda,ATG,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,1.431355982,0.625989707,2.062996385
Australia,AUS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,0.846905537,2.863910422
Austria,AUT,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.81353439,3.286579149,2.485675622,2.000156169,1.60581183,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642,1.381910634,2.766666667
Azerbaiyán,AZE,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.726872247,7.858333333,1.066213397,2.415717453,1.373441815,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828,2.75980947,6.650299127
Burundi,BDI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,6.493265915,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,-2.814698077,-0.686772171,7.321106434,8.404538451
Bélgica,BEL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.189299204,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957,0.740791812,2.440248511
Benin,BEN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.207835325,2.704239077,6.744682533,0.428888889,-0.548757551,0.218785924,-0.794050174,1.769412474,0.644803622,-0.705026635,3.022721197,1.733552342
Burkina Faso,BFA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,-0.764230735,2.759767249,3.818152403,0.533738507,-0.258089518,0.724838981,0.441041448,1.482998972,1.955943027,-3.23338934,1.884700665,3.653267618
Bangladesh,BGD,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.126676392,11.39516516,6.217504221,7.530406409,6.991638892,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399,5.691074747,5.545654308
Bulgaria,BGR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.438990605,4.219903466,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.798649886,2.061596194,2.814544738,3.103729448,1.672440969,3.297744353
Bahrein,BHR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.961884683,-0.400040697,2.7573967,3.300011569,2.647553212,1.848627424,2.786793476,1.386718306,2.08766938,1.005820047,-2.317706293,-0.606319385
Bahamas,BHS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.344027384,3.198781417,1.97336756,0.722414785,1.513756431,1.861483029,-0.34637693,1.518207007,2.265863467,2.491235274,0.038521098,2.904912629
Bosnia y Herzegovina,BIH,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.996212367,3.67125,2.05267452,-0.093045684,-0.897194054,-1.036023034,-1.5841,0.810133322,1.41710814,0.562782154,-1.051296008,1.981639006
Belarús,BLR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.735748043,53.22869831,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077,6.031837252,4.872302206,5.59815595,5.548143575,9.460283896
Belice,BLZ,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
